as_of_date,office,district,party,election_stage,candidate_name,write_in,already_listed_general
2026-02-07,U.S. House,IL-09,Republican,Primary,Mark Su,False,False
2026-02-07,U.S. House,IL-09,Republican,Primary,Paul Friedman,False,False
2026-02-07,U.S. House,IL-09,Republican,Primary,Rocio Cleveland,False,False
2026-02-07,U.S. House,IL-10,Democratic,Primary,Brad Schneider,False,False
2026-02-07,U.S. House,IL-10,Democratic,Primary,Morgan Coghill,False,False
2026-02-07,U.S. House,IL-10,Republican,Primary,Carl Lambrecht,False,False
2026-02-07,U.S. House,IL-11,Democratic,Primary,Bill Foster,False,False
2026-02-07,U.S. House,IL-11,Republican,Primary,Charlie Kim,False,False
2026-02-07,U.S. House,IL-11,Republican,Primary,Jeffrey Walter,False,False
2026-02-07,U.S. House,IL-11,Republican,Primary,Mike Pierce,False,False
2026-02-07,U.S. House,IL-11,Republican,Primary,Tedora Brown,False,False
2026-02-07,U.S. House,IL-12,Democratic,Primary,Julie Fortier,False,False
2026-02-07,U.S. House,IL-12,Republican,Primary,Mike Bost,False,False
2026-02-07,U.S. House,IL-13,Democratic,Primary,Dylan Blaha,False,False
2026-02-07,U.S. House,IL-13,Democratic,Primary,Nikki Budzinski,False,False
2026-02-07,U.S. House,IL-13,Republican,Primary,Jeff Wilson,False,False
2026-02-07,U.S. House,IL-13,Republican,Primary,Joshua Loyd,False,False
2026-02-07,U.S. House,IL-14,Democratic,Primary,Lauren Underwood,False,False
2026-02-07,U.S. House,IL-14,Republican,Primary,Gary Vician,False,False
2026-02-07,U.S. House,IL-14,Republican,Primary,James Marter,False,False
2026-02-07,U.S. House,IL-14,Republican,Primary,Krystal Dorey,True,False
2026-02-07,U.S. House,IL-15,Democratic,Primary,Jennifer Todd,False,False
2026-02-07,U.S. House,IL-15,Democratic,Primary,Kyle Nudo,False,False
2026-02-07,U.S. House,IL-15,Democratic,Primary,Paul Davis,False,False
2026-02-07,U.S. House,IL-15,Democratic,Primary,Randy Raley,False,False
2026-02-07,U.S. House,IL-15,Republican,Primary,Judy Bowlby,False,False
2026-02-07,U.S. House,IL-15,Republican,Primary,Mary Miller,False,False
2026-02-07,U.S. House,IL-15,Republican,Primary,Ryan Tebrugge,False,False
2026-02-07,U.S. House,IL-16,Democratic,Primary,Paul Nolley,False,False
2026-02-07,U.S. House,IL-16,Republican,Primary,Darin LaHood,False,False
2026-02-07,U.S. House,IL-17,Democratic,Primary,Eric Sorensen,False,False
2026-02-07,U.S. House,IL-17,Republican,Primary,Dillan Vancil,False,False
2026-02-07,U.S. House,IL-17,Republican,Primary,Julie Bickelhaupt,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Adam Delgado,True,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Awisi Bustos,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Bryan Maxwell,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Christopher Swann,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Jonathan Dean,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Juliana Stratton,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Kevin Ryan,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Raja Krishnamoorthi,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Robin Kelly,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Sean Brown,False,False
2026-02-07,U.S. Senate,IL,Democratic,Primary,Steve Botsford Jr.,False,False
2026-02-07,U.S. Senate,IL,Independent,General (already listed),Anthony Smith,False,True
2026-02-07,U.S. Senate,IL,Independent,General (already listed),Austin Mink,False,True
2026-02-07,U.S. Senate,IL,Independent,General (already listed),Tyrone Muhammad,False,True
2026-02-07,U.S. Senate,IL,Republican,Primary,Casey Chlebek,False,False
2026-02-07,U.S. Senate,IL,Republican,Primary,Don Tracy,False,False
2026-02-07,U.S. Senate,IL,Republican,Primary,Jeannie Evans,False,False
2026-02-07,U.S. Senate,IL,Republican,Primary,Jimmy Lee Tillman II,False,False
2026-02-07,U.S. Senate,IL,Republican,Primary,Max Rice,True,False
2026-02-07,U.S. Senate,IL,Republican,Primary,Pamela Denise Long,False,False
2026-02-07,U.S. Senate,IL,Republican,Primary,R. Cary Capparelli,False,False
